"Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Date,Sales,Payment,cogs,Rating"
"149-71-6266, Ugbowo,Benin,Member,Female,Sports and travel,78.07,9,35.1315,24/03/18,737.7615,Cash,702.63,4.5"
"640-49-2076, Ugbowo,Benin,Member,Female,Sports and travel,83.78,8,33.512,24/03/23,703.752,Cash,670.24,5.1"
"595-11-5460,Trans Amadi,Portharcourt,Member,Female,Health and beauty,96.58,2,9.658,24/04/05,202.818,Credit card,193.16,5.1"
"183-56-6882,Ikoyi,Lagos,Member,Female,Food and beverages,99.42,4,19.884,24/04/08,417.564,Ewallet,397.68,7.5"
"232-16-2483,Ikoyi,Lagos,Member,Female,Sports and travel,68.12,1,3.406,24/03/08,71.526,Ewallet,68.12,6.8"
"129-29-8530,Trans Amadi,Portharcourt,Member,Female,Sports and travel,62.62,5,15.655,24/03/02,328.755,Ewallet,313.1,7"
"272-65-1806,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,60.88,9,27.396,24/02/29,575.316,Ewallet,547.92,4.7"
"333-73-7901,Ikoyi,Lagos,Member,Female,Health and beauty,54.92,8,21.968,24/02/23,461.328,Ewallet,439.36,7.6"
"777-82-7220, Ugbowo,Benin,Member,Female,Home and lifestyle,30.12,8,12.048,24/01/30,253.008,Cash,240.96,7.7"
"280-35-5823, Ugbowo,Benin,Member,Female,Home and lifestyle,86.72,1,4.336,24/03/26,91.056,Ewallet,86.72,7.9"
"554-53-8700,Ikoyi,Lagos,Member,Female,Home and lifestyle,56.11,2,5.611,24/02/25,117.831,Cash,112.22,6.3"
"354-25-5821, Ugbowo,Benin,Member,Female,Sports and travel,69.12,6,20.736,24/03/09,435.456,Cash,414.72,5.6"
"228-96-1411,Ikoyi,Lagos,Member,Female,Food and beverages,98.7,8,39.48,24/04/07,829.08,Cash,789.6,7.6"
"617-15-4209,Ikoyi,Lagos,Member,Female,Health and beauty,15.37,2,1.537,24/01/15,32.277,Cash,30.74,7.2"
"132-32-9879, Ugbowo,Benin,Member,Female,Electronic accessories,93.96,4,18.792,24/04/02,394.632,Cash,375.84,9.5"
"370-41-7321, Ugbowo,Benin,Member,Female,Health and beauty,56.69,9,25.5105,24/02/25,535.7205,Credit card,510.21,8.4"
"727-46-3608, Ugbowo,Benin,Member,Female,Food and beverages,20.01,9,9.0045,24/01/20,189.0945,Ewallet,180.09,4.1"
"669-54-1719, Ugbowo,Benin,Member,Female,Electronic accessories,18.93,6,5.679,24/01/18,119.259,Credit card,113.58,8.1"
"574-22-5561,Ikoyi,Lagos,Member,Female,Fashion accessories,82.63,10,41.315,24/03/22,867.615,Ewallet,826.3,7.9"
"326-78-5178,Ikoyi,Lagos,Member,Female,Food and beverages,91.4,7,31.99,24/03/31,671.79,Cash,639.8,9.5"
"162-48-8011,Trans Amadi,Portharcourt,Member,Female,Food and beverages,44.59,5,11.1475,24/02/13,234.0975,Cash,222.95,8.5"
"616-24-2851, Ugbowo,Benin,Member,Female,Fashion accessories,17.87,4,3.574,24/01/17,75.054,Ewallet,71.48,6.5"
"778-71-5554,Ikoyi,Lagos,Member,Female,Fashion accessories,15.43,1,0.7715,24/01/15,16.2015,Credit card,15.43,6.1"
"242-55-6721, Ugbowo,Benin,Member,Female,Home and lifestyle,16.16,2,1.616,24/01/16,33.936,Ewallet,32.32,6.5"
"399-46-5918,Ikoyi,Lagos,Member,Female,Electronic accessories,85.98,8,34.392,24/03/25,722.232,Cash,687.84,8.2"
"106-35-6779,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,44.34,2,4.434,24/02/13,93.114,Cash,88.68,5.8"
"635-40-6220,Trans Amadi,Portharcourt,Member,Female,Health and beauty,89.6,8,35.84,24/03/29,752.64,Ewallet,716.8,6.6"
"817-48-8732,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,72.35,10,36.175,24/03/12,759.675,Cash,723.5,5.4"
"120-06-4233,Ikoyi,Lagos,Member,Female,Electronic accessories,30.61,6,9.183,24/01/30,192.843,Cash,183.66,9.3"
"285-68-5083,Ikoyi,Lagos,Member,Female,Sports and travel,24.74,3,3.711,24/01/24,77.931,Credit card,74.22,10"
"803-83-5989,Ikoyi,Lagos,Member,Female,Home and lifestyle,55.73,6,16.719,24/02/24,351.099,Ewallet,334.38,7"
"347-34-2234, Ugbowo,Benin,Member,Female,Sports and travel,55.07,9,24.7815,24/02/24,520.4115,Ewallet,495.63,10"
"199-75-8169,Trans Amadi,Portharcourt,Member,Female,Sports and travel,15.81,10,7.905,24/01/15,166.005,Credit card,158.1,8.6"
"853-23-2453, Ugbowo,Benin,Member,Female,Health and beauty,75.74,4,15.148,24/03/15,318.108,Cash,302.96,7.6"
"877-22-3308,Trans Amadi,Portharcourt,Member,Female,Health and beauty,15.87,10,7.935,24/01/15,166.635,Cash,158.7,5.8"
"838-78-4295,Ikoyi,Lagos,Member,Female,Health and beauty,33.47,2,3.347,24/02/02,70.287,Ewallet,66.94,6.7"
"109-28-2512, Ugbowo,Benin,Member,Female,Fashion accessories,97.61,6,29.283,24/04/06,614.943,Ewallet,585.66,9.9"
"232-11-3025,Trans Amadi,Portharcourt,Member,Female,Sports and travel,78.77,10,39.385,24/03/18,827.085,Cash,787.7,6.4"
"382-03-4532,Trans Amadi,Portharcourt,Member,Female,Health and beauty,18.33,1,0.9165,24/01/18,19.2465,Cash,18.33,4.3"
"393-65-2792,Ikoyi,Lagos,Member,Female,Food and beverages,89.48,10,44.74,24/03/29,939.54,Credit card,894.8,9.6"
"796-12-2025,Ikoyi,Lagos,Member,Female,Fashion accessories,62.12,10,31.06,24/03/02,652.26,Cash,621.2,5.9"
"510-95-6347, Ugbowo,Benin,Member,Female,Food and beverages,48.52,3,7.278,24/02/17,152.838,Ewallet,145.56,4"
"841-35-6630,Ikoyi,Lagos,Member,Female,Electronic accessories,75.91,6,22.773,24/03/15,478.233,Cash,455.46,8.7"
"287-21-9091,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,74.67,9,33.6015,24/03/14,705.6315,Ewallet,672.03,9.4"
"732-94-0499,Ikoyi,Lagos,Member,Female,Electronic accessories,41.65,10,20.825,24/02/10,437.325,Credit card,416.5,5.4"
"263-10-3913,Ikoyi,Lagos,Member,Female,Fashion accessories,49.04,9,22.068,24/02/18,463.428,Credit card,441.36,8.6"
"381-20-0914,Trans Amadi,Portharcourt,Member,Female,Fashion accessories,20.01,9,9.0045,24/01/20,189.0945,Credit card,180.09,5.7"
"829-49-1914,Ikoyi,Lagos,Member,Female,Food and beverages,78.31,10,39.155,24/03/18,822.255,Ewallet,783.1,6.6"
"756-01-7507,Ikoyi,Lagos,Member,Female,Health and beauty,20.38,5,5.095,24/01/20,106.995,Cash,101.9,6"
"870-72-4431,Ikoyi,Lagos,Member,Female,Health and beauty,99.19,6,29.757,24/04/08,624.897,Credit card,595.14,5.5"
"847-38-7188, Ugbowo,Benin,Member,Female,Food and beverages,96.68,3,14.502,24/04/05,304.542,Ewallet,290.04,6.4"
"480-63-2856,Ikoyi,Lagos,Member,Female,Food and beverages,19.25,8,7.7,24/01/19,161.7,Ewallet,154,6.6"
"787-56-0757,Ikoyi,Lagos,Member,Female,Food and beverages,80.36,4,16.072,24/03/20,337.512,Credit card,321.44,8.3"
"360-39-5055,Ikoyi,Lagos,Member,Female,Sports and travel,48.91,5,12.2275,24/02/17,256.7775,Cash,244.55,6.6"
"730-50-9884,Ikoyi,Lagos,Member,Female,Sports and travel,83.06,7,29.071,24/03/23,610.491,Ewallet,581.42,4"
"362-58-8315,Ikoyi,Lagos,Member,Female,Fashion accessories,76.52,5,19.13,24/03/16,401.73,Cash,382.6,9.9"
"633-44-8566,Trans Amadi,Portharcourt,Member,Female,Food and beverages,49.38,7,17.283,24/02/18,362.943,Credit card,345.66,7.3"
"504-35-8843,Trans Amadi,Portharcourt,Member,Female,Sports and travel,42.47,1,2.1235,24/02/11,44.5935,Cash,42.47,5.7"
"318-68-5053, Ugbowo,Benin,Member,Female,Health and beauty,76.99,6,23.097,24/03/16,485.037,Cash,461.94,6.1"
"565-80-5980,Ikoyi,Lagos,Member,Female,Home and lifestyle,47.38,4,9.476,24/02/16,198.996,Cash,189.52,7.1"
"225-32-0908,Ikoyi,Lagos,Member,Female,Sports and travel,44.86,10,22.43,24/02/13,471.03,Ewallet,448.6,8.2"
"873-51-0671,Trans Amadi,Portharcourt,Member,Female,Sports and travel,21.98,7,7.693,24/01/21,161.553,Ewallet,153.86,5.1"
"152-08-9985, Ugbowo,Benin,Member,Female,Health and beauty,64.36,9,28.962,24/03/04,608.202,Credit card,579.24,8.6"
"512-91-0811,Ikoyi,Lagos,Member,Female,Health and beauty,89.75,1,4.4875,24/03/29,94.2375,Credit card,89.75,6.6"
"594-34-4444,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,97.16,1,4.858,24/04/06,102.018,Ewallet,97.16,7.2"
"766-85-7061, Ugbowo,Benin,Member,Female,Health and beauty,87.87,10,43.935,24/03/27,922.635,Ewallet,878.7,5.1"
"871-39-9221,Ikoyi,Lagos,Member,Female,Electronic accessories,12.45,6,3.735,24/01/12,78.435,Cash,74.7,4.1"
"865-92-6136,Trans Amadi,Portharcourt,Member,Female,Food and beverages,52.75,3,7.9125,24/02/21,166.1625,Ewallet,158.25,9.3"
"733-01-9107, Ugbowo,Benin,Member,Female,Home and lifestyle,82.7,6,24.81,24/03/22,521.01,Cash,496.2,7.4"
"163-56-7055,Ikoyi,Lagos,Member,Female,Fashion accessories,48.71,1,2.4355,24/02/17,51.1455,Cash,48.71,4.1"
"189-98-2939,Ikoyi,Lagos,Member,Female,Fashion accessories,78.55,9,35.3475,24/03/18,742.2975,Cash,706.95,7.2"
"551-21-3069,Ikoyi,Lagos,Member,Female,Electronic accessories,23.07,9,10.3815,24/01/23,218.0115,Cash,207.63,4.9"
"212-62-1842,Trans Amadi,Portharcourt,Member,Female,Food and beverages,58.26,6,17.478,24/02/27,367.038,Cash,349.56,9.9"
"716-39-1409, Ugbowo,Benin,Member,Female,Health and beauty,30.35,7,10.6225,24/01/30,223.0725,Cash,212.45,8"
"704-48-3927,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,88.67,10,44.335,24/03/28,931.035,Ewallet,886.7,7.3"
"628-34-3388,Ikoyi,Lagos,Member,Female,Fashion accessories,27.38,6,8.214,24/01/27,172.494,Credit card,164.28,7.9"
"630-74-5166,Trans Amadi,Portharcourt,Member,Female,Sports and travel,62.13,6,18.639,24/03/02,391.419,Cash,372.78,7.4"
"588-01-7461,Ikoyi,Lagos,Member,Female,Food and beverages,33.98,9,15.291,24/02/02,321.111,Cash,305.82,4.2"
"861-77-0145,Ikoyi,Lagos,Member,Female,Electronic accessories,81.97,10,40.985,24/03/21,860.685,Cash,819.7,9.2"
"479-26-8945, Ugbowo,Benin,Member,Female,Sports and travel,16.49,2,1.649,24/01/16,34.629,Ewallet,32.98,4.6"
"210-67-5886,Ikoyi,Lagos,Member,Female,Health and beauty,98.21,3,14.7315,24/04/07,309.3615,Credit card,294.63,7.8"
"227-78-1148, Ugbowo,Benin,Member,Female,Fashion accessories,72.84,7,25.494,24/03/12,535.374,Cash,509.88,8.4"
"645-44-1170,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,58.07,9,26.1315,24/02/27,548.7615,Ewallet,522.63,4.3"
"237-01-6122,Ikoyi,Lagos,Member,Female,Home and lifestyle,80.79,9,36.3555,24/03/20,763.4655,Credit card,727.11,9.5"
"225-98-1496,Ikoyi,Lagos,Member,Female,Fashion accessories,27.02,3,4.053,24/01/27,85.113,Credit card,81.06,7.1"
"291-32-1427, Ugbowo,Benin,Member,Female,Fashion accessories,21.94,5,5.485,24/01/21,115.185,Ewallet,109.7,5.3"
"659-65-8956, Ugbowo,Benin,Member,Female,Fashion accessories,51.36,1,2.568,24/02/20,53.928,Ewallet,51.36,5.2"
"642-32-2990,Trans Amadi,Portharcourt,Member,Female,Food and beverages,10.96,10,5.48,24/01/10,115.08,Ewallet,109.6,6"
"378-24-2715, Ugbowo,Benin,Member,Female,Home and lifestyle,53.44,2,5.344,24/02/22,112.224,Ewallet,106.88,4.1"
"638-60-7125,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,99.56,8,39.824,24/04/08,836.304,Credit card,796.48,5.2"
"659-36-1684,Ikoyi,Lagos,Member,Female,Sports and travel,57.12,7,19.992,24/02/26,419.832,Credit card,399.84,6.5"
"219-22-9386, Ugbowo,Benin,Member,Female,Sports and travel,99.96,9,44.982,24/04/08,944.622,Credit card,899.64,4.2"
"336-78-2147,Ikoyi,Lagos,Member,Female,Home and lifestyle,63.91,8,25.564,24/03/03,536.844,Credit card,511.28,4.6"
"268-27-6179, Ugbowo,Benin,Member,Female,Fashion accessories,56.47,8,22.588,24/02/25,474.348,Ewallet,451.76,7.3"
"668-90-8900,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,93.69,7,32.7915,24/04/02,688.6215,Credit card,655.83,4.5"
"870-54-3162,Trans Amadi,Portharcourt,Member,Female,Sports and travel,32.25,5,8.0625,24/02/01,169.3125,Cash,161.25,9"
"189-08-9157,Ikoyi,Lagos,Member,Female,Fashion accessories,31.73,9,14.2785,24/01/31,299.8485,Credit card,285.57,5.9"
"663-86-9076,Ikoyi,Lagos,Member,Female,Food and beverages,68.54,8,27.416,24/03/08,575.736,Ewallet,548.32,8.5"
"549-84-7482, Ugbowo,Benin,Member,Female,Sports and travel,90.28,9,40.626,24/03/30,853.146,Ewallet,812.52,7.2"
"191-10-6171, Ugbowo,Benin,Normal,Female,Fashion accessories,39.62,7,13.867,24/02/08,291.207,Cash,277.34,7.5"
"802-70-5316,Trans Amadi,Portharcourt,Member,Female,Sports and travel,92.13,6,27.639,24/04/01,580.419,Cash,552.78,8.3"
"695-51-0018, Ugbowo,Benin,Normal,Female,Sports and travel,34.84,4,6.968,24/02/03,146.328,Cash,139.36,7.4"
"590-83-4591, Ugbowo,Benin,Member,Female,Electronic accessories,87.45,6,26.235,24/03/27,550.935,Credit card,524.7,8.8"
"483-71-1164,Ikoyi,Lagos,Normal,Female,Health and beauty,81.3,6,24.39,24/03/21,512.19,Ewallet,487.8,5.3"
"597-78-7908,Ikoyi,Lagos,Normal,Female,Fashion accessories,90.22,3,13.533,24/03/30,284.193,Cash,270.66,6.2"
"700-81-1757,Trans Amadi,Portharcourt,Normal,Female,Electronic accessories,26.31,5,6.5775,24/01/26,138.1275,Credit card,131.55,8.8"
"354-39-5160,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,34.42,6,10.326,24/02/03,216.846,Cash,206.52,9.8"
"241-72-9525, Ugbowo,Benin,Normal,Female,Sports and travel,51.91,10,25.955,24/02/20,545.055,Cash,519.1,8.2"
"575-30-8091,Trans Amadi,Portharcourt,Normal,Female,Sports and travel,72.5,8,29,24/03/12,609,Ewallet,580,9.2"
"731-81-9469,Ikoyi,Lagos,Member,Female,Sports and travel,89.8,10,44.9,24/03/29,942.9,Credit card,898,5.4"
"280-17-4359,Ikoyi,Lagos,Member,Male,Health and beauty,90.5,10,45.25,24/03/30,950.25,Cash,905,8.1"
"338-65-2210,Ikoyi,Lagos,Member,Female,Health and beauty,68.6,10,34.3,24/03/08,720.3,Cash,686,9.1"
"488-25-4221,Ikoyi,Lagos,Member,Female,Food and beverages,30.41,1,1.5205,24/01/30,31.9305,Credit card,30.41,8.4"
"239-10-7476,Trans Amadi,Portharcourt,Normal,Female,Home and lifestyle,77.95,6,23.385,24/03/17,491.085,Ewallet,467.7,8"
"458-41-1477,Ikoyi,Lagos,Normal,Female,Health and beauty,46.26,6,13.878,24/02/15,291.438,Credit card,277.56,9.5"
"685-64-1609,Trans Amadi,Portharcourt,Member,Female,Fashion accessories,30.14,10,15.07,24/01/30,316.47,Ewallet,301.4,9.2"
"568-90-5112,Ikoyi,Lagos,Normal,Male,Health and beauty,66.14,4,13.228,24/03/06,277.788,Credit card,264.56,5.6"
"262-47-2794, Ugbowo,Benin,Member,Male,Home and lifestyle,71.86,8,28.744,24/03/11,603.624,Credit card,574.88,6.2"
"238-49-0436,Trans Amadi,Portharcourt,Normal,Male,Health and beauty,32.46,8,12.984,24/02/01,272.664,Credit card,259.68,4.9"
"608-96-3517, Ugbowo,Benin,Member,Female,Fashion accessories,91.54,4,18.308,24/03/31,384.468,Credit card,366.16,4.8"
"584-86-7256,Ikoyi,Lagos,Member,Male,Sports and travel,34.56,7,12.096,24/02/03,254.016,Credit card,241.92,7.3"
"746-94-0204,Trans Amadi,Portharcourt,Normal,Male,Fashion accessories,83.24,9,37.458,24/03/23,786.618,Credit card,749.16,7.4"
"214-17-6927,Ikoyi,Lagos,Normal,Female,Food and beverages,16.48,6,4.944,24/01/16,103.824,Ewallet,98.88,9.9"
"400-89-4171,Ikoyi,Lagos,Normal,Female,Sports and travel,80.97,8,32.388,24/03/20,680.148,Cash,647.76,9.3"
"782-95-9291,Trans Amadi,Portharcourt,Member,Male,Food and beverages,92.29,5,23.0725,24/04/01,484.5225,Credit card,461.45,9"
"279-74-2924, Ugbowo,Benin,Member,Male,Electronic accessories,72.17,1,3.6085,24/03/12,75.7785,Cash,72.17,6.1"
"307-85-2293, Ugbowo,Benin,Normal,Male,Home and lifestyle,50.28,5,12.57,24/02/19,263.97,Ewallet,251.4,9.7"
"743-04-1105, Ugbowo,Benin,Member,Male,Health and beauty,97.22,9,43.749,24/04/06,918.729,Ewallet,874.98,6"
"423-57-2993, Ugbowo,Benin,Normal,Male,Sports and travel,93.39,6,28.017,24/04/02,588.357,Ewallet,560.34,10"
"894-41-5205,Ikoyi,Lagos,Normal,Female,Food and beverages,43.18,8,17.272,24/02/12,362.712,Credit card,345.44,8.3"
"275-28-0149,Trans Amadi,Portharcourt,Normal,Male,Sports and travel,63.69,1,3.1845,24/03/03,66.8745,Cash,63.69,6"
"101-17-6199,Trans Amadi,Portharcourt,Normal,Male,Food and beverages,45.79,7,16.0265,24/02/14,336.5565,Credit card,320.53,7"
"423-80-0988,Ikoyi,Lagos,Normal,Male,Sports and travel,76.4,2,7.64,24/03/16,160.44,Ewallet,152.8,6.5"
"548-46-9322, Ugbowo,Benin,Normal,Male,Food and beverages,39.9,10,19.95,24/02/08,418.95,Credit card,399,5.9"
"505-02-0892, Ugbowo,Benin,Member,Male,Health and beauty,42.57,8,17.028,24/02/11,357.588,Ewallet,340.56,5.6"
"234-65-2137,Ikoyi,Lagos,Normal,Male,Home and lifestyle,95.58,10,47.79,24/04/04,1003.59,Cash,955.8,4.8"
"687-47-8271,Trans Amadi,Portharcourt,Normal,Male,Fashion accessories,98.98,10,49.49,24/04/07,1039.29,Credit card,989.8,8.7"
"796-32-9050,Trans Amadi,Portharcourt,Normal,Male,Food and beverages,51.28,6,15.384,24/02/20,323.064,Cash,307.68,6.5"
"105-31-1824,Trans Amadi,Portharcourt,Member,Male,Sports and travel,69.52,7,24.332,24/03/09,510.972,Credit card,486.64,8.5"
"249-42-3782,Trans Amadi,Portharcourt,Normal,Male,Health and beauty,70.01,5,17.5025,24/03/10,367.5525,Ewallet,350.05,5.5"
"316-55-4634, Ugbowo,Benin,Member,Male,Food and beverages,80.05,5,20.0125,24/03/20,420.2625,Credit card,400.25,9.4"
"733-33-4967,Ikoyi,Lagos,Normal,Male,Electronic accessories,20.85,8,8.34,24/01/20,175.14,Cash,166.8,6.3"
"608-27-6295, Ugbowo,Benin,Member,Male,Electronic accessories,52.89,6,15.867,24/02/21,333.207,Credit card,317.34,9.8"
"414-12-7047, Ugbowo,Benin,Normal,Male,Food and beverages,19.79,8,7.916,24/01/19,166.236,Ewallet,158.32,8.7"
"827-26-2100,Trans Amadi,Portharcourt,Member,Male,Home and lifestyle,33.84,9,15.228,24/02/02,319.788,Ewallet,304.56,8.8"
"175-54-2529,Trans Amadi,Portharcourt,Member,Male,Food and beverages,22.17,8,8.868,24/01/22,186.228,Credit card,177.36,9.6"
"139-52-2867,Ikoyi,Lagos,Normal,Female,Fashion accessories,22.51,7,7.8785,24/01/22,165.4485,Credit card,157.57,4.8"
"407-63-8975,Trans Amadi,Portharcourt,Normal,Male,Food and beverages,73.88,6,22.164,24/03/13,465.444,Ewallet,443.28,4.4"
"342-65-4817,Ikoyi,Lagos,Member,Male,Health and beauty,86.8,3,13.02,24/03/26,273.42,Ewallet,260.4,9.9"
"130-98-8941,Ikoyi,Lagos,Normal,Male,Fashion accessories,64.26,7,22.491,24/03/04,472.311,Cash,449.82,5.7"
"434-83-9547,Ikoyi,Lagos,Member,Male,Food and beverages,38.47,8,15.388,24/02/07,323.148,Cash,307.76,7.7"
"851-28-6367,Trans Amadi,Portharcourt,Member,Male,Sports and travel,15.5,10,7.75,24/01/15,162.75,Ewallet,155,8"
"824-88-3614,Ikoyi,Lagos,Normal,Male,Health and beauty,34.31,8,13.724,24/02/03,288.204,Ewallet,274.48,5.7"
"586-25-0848,Trans Amadi,Portharcourt,Normal,Female,Sports and travel,12.34,7,4.319,24/01/12,90.699,Credit card,86.38,6.7"
"895-66-0685, Ugbowo,Benin,Member,Male,Food and beverages,18.08,3,2.712,24/01/18,56.952,Ewallet,54.24,8"
"305-14-0245, Ugbowo,Benin,Member,Female,Home and lifestyle,94.49,8,37.796,24/04/03,793.716,Ewallet,755.92,7.5"
"732-04-5373, Ugbowo,Benin,Member,Male,Home and lifestyle,46.47,4,9.294,24/02/15,195.174,Cash,185.88,7"
"400-60-7251,Trans Amadi,Portharcourt,Normal,Male,Home and lifestyle,74.07,1,3.7035,24/03/14,77.7735,Ewallet,74.07,9.9"
"593-65-1552,Ikoyi,Lagos,Normal,Female,Home and lifestyle,69.81,4,13.962,24/03/09,293.202,Credit card,279.24,5.9"
"284-34-9626, Ugbowo,Benin,Normal,Female,Home and lifestyle,77.04,3,11.556,24/03/17,242.676,Credit card,231.12,7.2"
"437-58-8131, Ugbowo,Benin,Normal,Female,Fashion accessories,73.52,2,7.352,24/03/13,154.392,Ewallet,147.04,4.6"
"286-43-6208,Ikoyi,Lagos,Normal,Female,Food and beverages,87.8,9,39.51,24/03/27,829.71,Cash,790.2,9.2"
"641-43-2399, Ugbowo,Benin,Normal,Male,Home and lifestyle,25.55,4,5.11,24/01/25,107.31,Ewallet,102.2,5.7"
"831-07-6050,Trans Amadi,Portharcourt,Normal,Male,Electronic accessories,32.71,5,8.1775,24/02/01,171.7275,Credit card,163.55,9.9"
"556-86-3144,Ikoyi,Lagos,Member,Female,Fashion accessories,74.29,1,3.7145,24/03/14,78.0045,Cash,74.29,5"
"848-24-9445,Ikoyi,Lagos,Member,Male,Health and beauty,43.7,2,4.37,24/02/12,91.77,Cash,87.4,4.9"
"856-22-8149,Trans Amadi,Portharcourt,Normal,Female,Home and lifestyle,25.29,1,1.2645,24/01/25,26.5545,Ewallet,25.29,6.1"
"699-01-4164,Ikoyi,Lagos,Normal,Male,Health and beauty,41.5,4,8.3,24/02/10,174.3,Credit card,166,8.2"
"420-11-4919,Ikoyi,Lagos,Member,Female,Food and beverages,71.39,5,17.8475,24/03/11,374.7975,Credit card,356.95,5.5"
"606-80-4905,Ikoyi,Lagos,Member,Female,Sports and travel,19.15,6,5.745,24/01/19,120.645,Credit card,114.9,6.8"
"542-41-0513, Ugbowo,Benin,Member,Female,Electronic accessories,57.49,4,11.498,24/02/26,241.458,Cash,229.96,6.6"
